,Consumer,Location,Demand,Capacity,Ports
0,1,"(161, 174)",93,372,1
1,2,"(126, 145)",75,450,1
2,3,"(131, 100)",157,471,3
3,4,"(96, 110)",47,329,1
4,5,"(160, 160)",69,483,1
5,6,"(202, 182)",68,340,1
6,7,"(206, 214)",141,705,3
7,8,"(245, 234)",115,690,2
8,9,"(102, 101)",103,515,2
9,10,"(180, 169)",95,285,1
10,11,"(182, 199)",90,630,1
11,12,"(141, 142)",121,363,2
12,13,"(242, 252)",97,291,1
13,14,"(170, 181)",147,1029,3
14,15,"(193, 185)",92,276,1
15,16,"(143, 148)",96,480,1
16,17,"(142, 148)",79,553,1
17,18,"(247, 253)",83,498,1
18,19,"(151, 156)",85,340,1
19,20,"(153, 141)",43,301,1
20,21,"(93, 97)",76,380,1
21,22,"(146, 132)",143,572,3
22,23,"(203, 174)",69,345,1
23,24,"(232, 216)",98,588,1
24,25,"(127, 139)",124,744,2
25,26,"(167, 173)",96,384,1
26,27,"(174, 167)",65,325,1
27,28,"(243, 266)",108,432,2
28,29,"(7, 11)",95,380,1
29,30,"(181, 162)",111,444,2
